,state,startdate,enddate,pollster,grade,samplesize,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,pop_type__a,pop_type__lv,pop_type__rv,pop_type__v
13,Virginia,2016-11-03,2016-11-04,Public Policy Polling,0.6666666666666665,1226.0,48.0,43.0,1.0,0.0,47.43805,42.32751,2.207659,0.0,0,1,0,0
14,U.S.,2016-11-01,2016-11-03,Marist College,0.8888888888888888,956.0,44.0,43.0,6.0,0.0,42.83406,43.43819,4.780429,0.0,0,1,0,0
15,Iowa,2016-11-01,2016-11-04,Selzer & Company,1.0,802.0,39.0,46.0,6.0,0.0,39.37561,45.66917,6.062713,0.0,0,1,0,0
16,U.S.,2016-11-05,2016-11-07,The Times-Picayune/Lucid,0.3333333333333333,2508.5,45.0,40.0,5.0,0.0,45.13966,42.26495,3.679914,0.0,0,1,0,0
17,Wisconsin,2016-10-26,2016-10-31,Marquette University,0.8888888888888888,1251.0,46.0,40.0,4.0,0.0,46.10344,40.97982,2.897062,0.0,0,1,0,0
18,North Carolina,2016-11-04,2016-11-06,Siena College,0.8888888888888888,802.0,44.0,44.0,3.0,0.0,44.21875,45.0829,2.33525,0.0,0,1,0,0
19,Georgia,2016-11-06,2016-11-06,Landmark Communications,0.5555555555555556,1192.0,46.0,49.0,3.0,0.0,45.0647,48.80363,3.662548,0.0,0,1,0,0
20,Florida,2016-11-03,2016-11-06,Quinnipiac University,0.7777777777777777,875.0,46.0,45.0,2.0,0.0,46.44315,43.93999,2.09831,0.0,0,1,0,0
21,North Carolina,2016-11-03,2016-11-06,Quinnipiac University,0.7777777777777777,875.0,47.0,45.0,3.0,0.0,47.43742,43.93745,3.09831,0.0,0,1,0,0
22,Virginia,2016-10-27,2016-10-30,ABC News/Washington Post,1.0,1041.0,48.0,42.0,6.0,0.0,46.39152,41.58078,6.088089,0.0,0,1,0,0
23,U.S.,2016-11-01,2016-11-07,USC Dornsife/LA Times,0.3333333333333333,2969.0,43.61,46.84,7.381739907109681,0.0,45.32156,43.38579,4.659761409860664,0.0,0,1,0,0
24,Georgia,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,2001.0,44.0,48.0,3.0,0.0,43.83075,47.32734,3.726098,0.0,0,0,1,0
25,Oregon,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1949.0,44.0,40.0,6.0,0.0,43.84735,39.33472,6.726098,0.0,0,0,1,0
26,U.S.,2016-11-01,2016-11-05,"RKM Research and Communications, Inc.",0.6666666666666665,1000.0,47.6,44.4,4.3,0.0,47.63973,43.1608,4.761112,0.0,0,1,0,0
27,Ohio,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1799.0,42.0,48.0,4.0,0.0,41.84073,47.33178,4.726098,0.0,0,0,1,0
28,South Carolina,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1747.5,43.0,48.0,3.0,0.0,42.83107,47.32748,3.726098,0.0,0,0,1,0
29,Ohio,2016-11-02,2016-11-04,YouGov,0.5555555555555556,1192.0,45.0,46.0,7.381739907109681,0.0,44.93624,45.09646,4.659761409860664,0.0,0,1,0,0
30,Virginia,2016-11-01,2016-11-02,Remington,0.3333333333333333,3021.5,46.0,44.0,7.381739907109681,0.0,45.27399,41.91459,4.659761409860664,0.0,0,1,0,0
31,New York,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1696.5,55.0,36.0,2.0,0.0,54.84194,35.33231,2.726098,0.0,0,0,1,0
32,Michigan,2016-11-03,2016-11-04,Public Policy Polling,0.6666666666666665,956.0,46.0,41.0,6.0,0.0,45.44545,40.33095,7.207659,0.0,0,1,0,0
33,North Carolina,2016-10-31,2016-11-01,Public Policy Polling,0.6666666666666665,1157.5,49.0,47.0,7.381739907109681,0.0,47.90348,45.94813,4.659761409860664,0.0,0,1,0,0
34,Wisconsin,2016-11-01,2016-11-02,Remington,0.3333333333333333,2729.0,49.0,41.0,7.381739907109681,0.0,48.22713,38.86464,4.659761409860664,0.0,0,1,0,0
35,Pennsylvania,2016-11-01,2016-11-02,Remington,0.3333333333333333,2675.5,46.0,45.0,7.381739907109681,0.0,45.30896,42.94988,4.659761409860664,0.0,0,1,0,0
36,Virginia,2016-11-01,2016-11-06,Christopher Newport University,0.4444444444444445,1192.0,48.0,42.0,3.0,0.0,48.93321,43.6221,1.996604,0.0,0,1,0,0
37,North Carolina,2016-11-01,2016-11-02,Remington,0.3333333333333333,2615.0,45.0,48.0,7.381739907109681,0.0,44.39882,46.0411,4.659761409860664,0.0,0,1,0,0
38,Ohio,2016-11-01,2016-11-02,Remington,0.3333333333333333,2560.5,44.0,45.0,7.381739907109681,0.0,43.03321,42.67245,4.659761409860664,0.0,0,1,0,0
39,Georgia,2016-11-03,2016-11-05,YouGov,0.5555555555555556,1000.0,43.0,49.0,4.0,0.0,43.80799,48.99024,5.169494,0.0,0,1,0,0
40,Missouri,2016-10-31,2016-11-01,Public Policy Polling,0.6666666666666665,1083.0,37.0,50.0,4.0,0.0,36.55124,49.59908,5.028656,0.0,0,1,0,0
41,New Hampshire,2016-11-04,2016-11-05,Emerson College,0.5555555555555556,1000.0,45.4,43.8,4.5,0.0,45.37532,41.71392,4.769466,0.0,0,1,0,0
42,Arizona,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1463.0,43.0,45.0,3.0,0.0,42.84287,44.33273,3.726098,0.0,0,0,1,0
43,U.S.,2016-10-31,2016-11-06,CVOTER International,0.3333333333333333,1611.0,48.91,46.13,7.381739907109681,0.0,47.01806,42.04561,4.659761409860664,0.0,0,1,0,0
44,Florida,2016-11-01,2016-11-02,Remington,0.3333333333333333,2362.0,45.0,48.0,7.381739907109681,0.0,44.85722,46.49677,4.659761409860664,0.0,0,1,0,0
45,Pennsylvania,2016-10-31,2016-11-01,Public Policy Polling,0.6666666666666665,1041.0,48.0,44.0,7.381739907109681,0.0,46.81404,42.86101,4.659761409860664,0.0,0,1,0,0
46,U.S.,2016-11-04,2016-11-05,Morning Consult,0.3333333333333333,1463.0,45.0,42.0,8.0,0.0,46.2831,43.27167,6.904304,0.0,0,1,0,0
47,Pennsylvania,2016-11-03,2016-11-05,YouGov,0.5555555555555556,915.0,45.0,43.0,4.0,0.0,45.82043,42.99602,5.169494,0.0,0,1,0,0
48,Nevada,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1157.5,45.0,43.0,4.0,0.0,43.52706,40.25877,5.414673,0.0,0,1,0,0
49,Colorado,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1367.0,44.0,43.0,5.0,0.0,43.84619,42.3342,5.726098,0.0,0,0,1,0
50,Florida,2016-11-02,2016-11-04,YouGov,0.5555555555555556,1192.0,45.0,45.0,7.381739907109681,0.0,47.07455,46.99468,4.659761409860664,0.0,0,0,1,0
51,U.S.,2016-10-31,2016-11-06,SurveyMonkey,0.1111111111111111,70194.0,47.0,41.0,6.0,0.0,45.65592,40.37888,3.677361,0.0,0,1,0,0
52,Wisconsin,2016-11-01,2016-11-02,Clarity Campaign Labs,0.5555555555555556,1116.0,47.0,43.0,4.0,0.0,47.83631,42.94844,4.024297,0.0,0,1,0,0
53,Ohio,2016-11-04,2016-11-05,Emerson College,0.5555555555555556,915.0,38.9,45.6,6.8,0.0,38.85865,43.50651,7.069466,0.0,0,1,0,0
54,New Hampshire,2016-11-03,2016-11-06,University of New Hampshire,0.6666666666666665,702.0,49.0,38.0,6.0,0.0,48.71549,39.2107,6.444664,0.0,0,1,0,0
55,Pennsylvania,2016-11-01,2016-11-04,Clarity Campaign Labs,0.5555555555555556,1041.0,47.0,43.0,4.0,0.0,47.77524,42.83232,4.096484,0.0,0,1,0,0
56,U.S.,2016-10-20,2016-10-25,Pew Research Center,0.6666666666666665,2127.0,46.0,40.0,6.0,0.0,45.82386,42.70839,3.531025,0.0,0,0,1,0
57,Florida,2016-10-20,2016-10-24,SurveyUSA,0.8888888888888888,1251.0,48.0,45.0,2.0,0.0,46.74555,45.86589,1.52073,0.0,0,1,0,0
58,California,2016-10-25,2016-10-31,YouGov,0.5555555555555556,1500.0,53.0,33.0,4.0,0.0,53.93975,34.06845,4.511946,0.0,0,1,0,0
59,U.S.,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,0.3333333333333333,1500.0,45.0,43.0,4.0,0.0,45.56041,43.13745,4.418502,0.0,0,1,0,0
60,Colorado,2016-11-01,2016-11-02,Remington,0.3333333333333333,1887.0,42.0,41.0,7.381739907109681,0.0,40.24119,37.87783,4.659761409860664,0.0,0,1,0,0
61,New York,2016-11-03,2016-11-04,Siena College,0.8888888888888888,618.0,51.0,34.0,5.0,0.0,51.30942,35.12664,4.344325,0.0,0,1,0,0
62,Nevada,2016-11-01,2016-11-02,Remington,0.3333333333333333,1799.0,45.0,46.0,7.381739907109681,0.0,43.87231,43.51139,4.659761409860664,0.0,0,1,0,0
63,Pennsylvania,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1226.0,46.0,40.0,7.0,0.0,45.83721,39.33021,7.726098,0.0,0,0,1,0
64,Arizona,2016-10-30,2016-11-01,Marist College,0.8888888888888888,702.0,40.0,45.0,9.0,0.0,38.85863,45.72376,7.587354,0.0,0,1,0,0
65,Missouri,2016-11-01,2016-11-02,Clarity Campaign Labs,0.5555555555555556,1041.0,38.0,54.0,7.381739907109681,0.0,37.65693,52.77196,4.659761409860664,0.0,0,1,0,0
66,Wisconsin,2016-11-03,2016-11-06,Gravis Marketing,0.4444444444444445,1192.0,47.0,44.0,3.0,0.0,46.84436,43.33339,3.726098,0.0,0,0,1,0
67,Washington,2016-10-31,2016-11-02,SurveyUSA,0.8888888888888888,677.5,50.0,38.0,4.0,0.0,48.87802,36.95385,4.691579,0.0,0,1,0,0
68,Virginia,2016-11-01,2016-11-04,Gravis Marketing,0.4444444444444445,1367.0,47.0,42.0,4.0,0.0,46.97759,41.41807,4.720103,0.0,0,0,1,0
69,Wisconsin,2016-10-31,2016-11-01,Public Policy Polling,0.6666666666666665,875.0,48.0,41.0,7.381739907109681,0.0,46.73323,39.78602,4.659761409860664,0.0,0,1,0,0
70,California,2016-10-22,2016-10-30,Greenberg Quinlan Rosner/American Viewpoint,0.6666666666666665,1367.0,54.0,30.0,4.0,0.0,54.28659,31.63001,3.403508,0.0,0,1,0,0
71,Georgia,2016-10-30,2016-11-01,Marist College,0.8888888888888888,702.0,44.0,45.0,8.0,0.0,42.81871,45.65459,6.587354,0.0,0,1,0,0
72,California,2016-10-28,2016-10-31,SurveyUSA,0.8888888888888888,738.0,56.0,35.0,4.0,0.0,54.86451,34.27885,4.457467,0.0,0,1,0,0
73,Florida,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,4100.0,47.0,45.0,4.0,0.0,45.5919,44.32744,1.69243,0.0,0,1,0,0
74,Texas,2016-10-30,2016-11-01,Marist College,0.8888888888888888,677.5,40.0,49.0,6.0,0.0,38.84342,49.69741,4.587354,0.0,0,1,0,0
75,Missouri,2016-10-31,2016-11-01,Remington,0.3333333333333333,1747.5,39.0,52.0,4.0,0.0,39.02343,50.77483,5.124639,0.0,0,1,0,0
76,Arizona,2016-10-29,2016-10-31,Saguaro Strategies,0.3333333333333333,2239.5,45.0,44.0,7.0,0.0,43.5845,44.02861,6.357814,0.0,0,1,0,0
77,Utah,2016-11-03,2016-11-05,YouGov,0.5555555555555556,778.0,23.0,40.0,7.0,24.0,23.83396,40.0023,8.169495,24.0,0,1,0,0
78,Colorado,2016-11-03,2016-11-04,Public Policy Polling,0.6666666666666665,702.0,48.0,43.0,4.0,0.0,47.45403,42.33493,5.207659,0.0,0,1,0,0
79,Virginia,2016-11-02,2016-11-06,Hampton University,0.5555555555555556,802.0,45.0,41.0,7.381739907109681,0.0,46.01075,40.15596,4.659761409860664,0.0,0,1,0,0
80,Utah,2016-10-31,2016-11-02,Emerson College,0.5555555555555556,1000.0,19.6,39.8,3.0,27.6,19.75684,38.0144,3.075563,27.70142,0,1,0,0
81,North Carolina,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,3137.0,48.0,41.0,7.0,0.0,46.58087,40.32232,4.69243,0.0,0,1,0,0
82,Texas,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,3021.5,43.0,46.0,6.0,0.0,41.58838,45.3258,3.69243,0.0,0,1,0,0
83,Michigan,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,3137.0,44.0,42.0,8.0,0.0,42.5951,41.32892,5.69243,0.0,0,1,0,0
84,North Carolina,2016-11-01,2016-11-04,Gravis Marketing,0.4444444444444445,1251.0,46.0,45.0,3.0,0.0,45.96828,44.41288,3.720103,0.0,0,0,1,0
85,Missouri,2016-11-04,2016-11-05,Emerson College,0.5555555555555556,738.0,40.5,46.5,6.6,0.0,40.45619,44.40542,6.869466,0.0,0,1,0,0
86,U.S.,2016-11-04,2016-11-07,Insights West,0.3333333333333333,956.0,49.0,45.0,4.0,0.0,49.14547,45.12675,4.253578,0.0,0,1,0,0
87,Ohio,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2868.0,42.0,45.0,7.0,0.0,40.59315,44.32802,4.69243,0.0,0,1,0,0
88,Pennsylvania,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2868.0,46.0,43.0,6.0,0.0,44.58637,42.32487,3.69243,0.0,0,1,0,0
89,Pennsylvania,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.7777777777777777,802.0,48.0,44.0,4.0,0.0,47.34301,42.21297,3.469063,0.0,0,1,0,0
90,Colorado,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2729.0,43.0,40.0,10.0,0.0,41.60367,39.3329,7.69243,0.0,0,1,0,0
91,New Mexico,2016-11-01,2016-11-02,Gravis Marketing,0.4444444444444445,1327.0,45.0,37.0,11.0,0.0,45.03643,36.53281,11.64792,0.0,0,0,1,0
92,California,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2729.0,56.0,31.0,6.0,0.0,54.59576,30.32923,3.69243,0.0,0,1,0,0
93,Nevada,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.7777777777777777,778.0,43.0,49.0,5.0,0.0,42.3558,47.24366,4.469063,0.0,0,1,0,0
94,Arizona,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2615.0,45.0,42.0,7.0,0.0,43.59727,41.32993,4.69243,0.0,0,1,0,0
95,Georgia,2016-11-06,2016-11-06,Trafalgar Group,0.2222222222222222,1251.0,45.11,51.58,1.89,0.0,44.73904,48.6823,2.955849,0.0,0,1,0,0
96,Arizona,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.7777777777777777,778.0,44.0,49.0,5.0,0.0,43.36176,47.25795,4.469063,0.0,0,1,0,0
97,New Hampshire,2016-10-31,2016-11-01,Public Policy Polling,0.6666666666666665,778.0,48.0,43.0,7.381739907109681,0.0,45.84364,40.90704,4.659761409860664,0.0,0,1,0,0
98,Georgia,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2433.5,45.0,45.0,7.0,0.0,43.57392,44.31909,4.69243,0.0,0,1,0,0
99,Michigan,2016-11-06,2016-11-06,Trafalgar Group,0.2222222222222222,1192.0,46.82,48.52,2.89,0.0,46.44904,45.6223,3.955849,0.0,0,1,0,0
100,Florida,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.7777777777777777,778.0,49.0,47.0,3.0,0.0,48.35252,45.23579,2.469063,0.0,0,1,0,0
101,U.S.,2016-10-20,2016-11-01,RAND (American Life Panel),0.4444444444444445,2239.5,43.7,34.6,7.7,0.0,43.13676,38.24491,5.9578,0.0,0,1,0,0
102,Utah,2016-10-30,2016-10-31,Gravis Marketing,0.4444444444444445,1415.0,29.0,35.0,3.0,24.0,29.04086,34.78405,3.422875,24.13522,0,0,1,0
103,Wisconsin,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2239.5,44.0,42.0,7.0,0.0,42.60015,41.33127,4.69243,0.0,0,1,0,0
104,Virginia,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2183.0,49.0,41.0,7.0,0.0,47.58769,40.32549,4.69243,0.0,0,1,0,0
105,Florida,2016-11-01,2016-11-02,Gravis Marketing,0.4444444444444445,1226.0,46.0,45.0,4.0,0.0,46.02363,44.52199,4.647916,0.0,0,0,1,0
106,New York,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,2183.0,57.0,32.0,5.0,0.0,55.59548,31.3291,2.69243,0.0,0,1,0,0
107,North Carolina,2016-10-28,2016-10-31,SurveyUSA,0.8888888888888888,649.0,44.0,51.0,7.381739907109681,0.0,42.12159,49.50006,4.659761409860664,0.0,0,1,0,0
108,Michigan,2016-11-01,2016-11-04,Gravis Marketing,0.4444444444444445,1083.0,46.0,41.0,3.0,0.0,45.98772,40.42371,3.720103,0.0,0,0,1,0
109,Florida,2016-11-06,2016-11-06,Trafalgar Group,0.2222222222222222,1116.0,46.13,49.72,2.43,0.0,45.75904,46.8223,3.495849,0.0,0,1,0,0
110,North Carolina,2016-10-25,2016-10-26,Marist College,0.8888888888888888,778.0,47.0,41.0,8.0,0.0,45.80774,42.65965,5.980521,0.0,0,1,0,0
111,Florida,2016-10-25,2016-10-27,Siena College,0.8888888888888888,802.0,42.0,46.0,4.0,0.0,42.40145,48.60084,2.45716,0.0,0,1,0,0
112,Utah,2016-11-03,2016-11-05,Trafalgar Group,0.2222222222222222,1367.0,29.52,39.95,3.89,24.52,29.32624,37.13456,5.055889,24.52,0,1,0,0
113,Florida,2016-10-25,2016-10-26,Marist College,0.8888888888888888,778.0,45.0,44.0,5.0,0.0,43.825,45.76098,2.980521,0.0,0,1,0,0
114,Illinois,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1799.0,52.0,35.0,6.0,0.0,50.59141,34.32721,3.69243,0.0,0,1,0,0
115,Iowa,2016-11-01,2016-11-02,RABA Research,0.3333333333333333,1083.0,41.0,44.0,5.0,0.0,41.77092,45.07573,5.054302,0.0,0,1,0,0
116,Pennsylvania,2016-11-03,2016-11-05,Trafalgar Group,0.2222222222222222,1290.0,46.51,48.43,2.3,0.0,46.30272,45.60828,3.465889,0.0,0,1,0,0
117,Iowa,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1799.0,38.0,47.0,9.0,0.0,36.60362,46.33288,6.69243,0.0,0,1,0,0
118,Indiana,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1696.5,35.0,52.0,10.0,0.0,33.58643,51.3249,7.69243,0.0,0,1,0,0
119,South Carolina,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1696.5,43.0,47.0,6.0,0.0,41.57453,46.31938,3.69243,0.0,0,1,0,0
120,Florida,2016-10-21,2016-10-24,Selzer & Company,1.0,802.0,43.0,45.0,4.0,0.0,43.30724,46.68426,2.861892,0.0,0,1,0,0
121,U.S.,2016-10-20,2016-10-24,GfK Group,0.6666666666666665,1226.0,51.0,37.0,6.0,0.0,50.28058,39.98632,4.733277,0.0,0,1,0,0
122,Nevada,2016-10-31,2016-11-01,Public Policy Polling,0.6666666666666665,677.5,48.0,45.0,7.381739907109681,0.0,46.37794,43.42805,4.659761409860664,0.0,0,1,0,0
123,Michigan,2016-11-01,2016-11-03,EPIC-MRA,0.7777777777777777,600.0,42.0,38.0,5.0,0.0,43.47472,39.26165,4.472379,0.0,0,1,0,0
124,Oregon,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1611.0,50.0,35.0,7.0,0.0,48.6059,34.33394,4.69243,0.0,0,1,0,0
125,Pennsylvania,2016-10-23,2016-10-25,Siena College,0.8888888888888888,837.0,46.0,39.0,6.0,0.0,46.3271,41.95797,4.263721,0.0,0,1,0,0
126,Nevada,2016-11-04,2016-11-05,Emerson College,0.5555555555555556,600.0,46.8,45.6,3.9,0.0,46.75898,43.50666,4.169466,0.0,0,1,0,0
127,Missouri,2016-10-27,2016-10-28,BK Strategies,0.3333333333333333,1696.5,39.0,53.0,7.381739907109681,0.0,38.35085,51.20917,4.659761409860664,0.0,0,1,0,0
128,Utah,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1463.0,31.0,34.0,7.0,25.0,29.59989,33.33115,4.69243,25.0,0,1,0,0
129,New Hampshire,2016-11-01,2016-11-02,Gravis Marketing,0.4444444444444445,1000.0,41.0,43.0,7.0,0.0,41.07718,42.56727,7.647916,0.0,0,0,1,0
130,California,2016-10-14,2016-10-23,Public Policy Institute of California,0.8888888888888888,1041.0,54.0,28.0,5.0,0.0,56.30498,29.53212,3.008714,0.0,0,1,0,0
131,Ohio,2016-10-27,2016-11-05,Columbus Dispatch,0.3333333333333333,1157.5,48.0,47.0,7.381739907109681,0.0,46.07078,45.69285,4.659761409860664,0.0,0,1,0,0
132,Tennessee,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1415.0,41.0,49.0,5.0,0.0,39.5886,48.32591,2.69243,0.0,0,1,0,0
133,Washington,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1463.0,51.0,33.0,8.0,0.0,49.60812,32.33496,5.69243,0.0,0,1,0,0
134,Colorado,2016-10-26,2016-10-28,YouGov,0.5555555555555556,1000.0,42.0,39.0,7.0,0.0,42.94938,40.34512,7.397894,0.0,0,1,0,0
135,Arizona,2016-10-26,2016-10-28,YouGov,0.5555555555555556,1000.0,42.0,44.0,4.0,0.0,42.93903,45.29469,4.397894,0.0,0,1,0,0
136,Iowa,2016-11-01,2016-11-03,Emerson College,0.5555555555555556,702.0,41.0,44.0,5.0,0.0,41.16034,42.11262,5.191284,0.0,0,1,0,0
137,North Carolina,2016-10-26,2016-10-28,YouGov,0.5555555555555556,1000.0,48.0,45.0,3.0,0.0,48.91251,46.16556,3.397894,0.0,0,1,0,0
138,Connecticut,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1367.0,52.0,36.0,7.0,0.0,50.60727,35.33457,4.69243,0.0,0,1,0,0
139,Massachusetts,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1367.0,56.0,30.0,6.0,0.0,54.62819,29.34428,3.69243,0.0,0,1,0,0
140,New Jersey,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1367.0,52.0,37.0,4.0,0.0,50.5984,36.33046,1.69243,0.0,0,1,0,0
141,Colorado,2016-11-02,2016-11-03,"Keating Research, Inc.",0.5555555555555556,600.0,43.0,38.0,7.0,0.0,42.73429,39.28642,6.995907,0.0,0,1,0,0
142,Missouri,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1367.0,40.0,48.0,8.0,0.0,38.58843,47.32583,5.69243,0.0,0,1,0,0
143,Kansas,2016-10-26,2016-10-30,SurveyUSA,0.8888888888888888,618.0,38.0,49.0,7.0,0.0,36.85588,48.73752,7.213034,0.0,0,1,0,0
144,Kentucky,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1327.0,35.0,54.0,6.0,0.0,33.58942,53.32629,3.69243,0.0,0,1,0,0
145,Kansas,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1327.0,36.0,49.0,9.0,0.0,34.59949,48.33097,6.69243,0.0,0,1,0,0
146,U.S.,2016-11-01,2016-11-03,Fox News/Anderson Robbins Research/Shaw & Company Research,0.8888888888888888,1116.0,45.5,44.0,5.0,0.0,46.70731,44.14856,4.979693,0.0,0,1,0,0
147,Minnesota,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1290.0,46.0,39.0,10.0,0.0,44.60134,38.33182,7.69243,0.0,0,1,0,0
148,Florida,2016-11-05,2016-11-06,Opinion Savvy/InsiderAdvantage,0.1111111111111111,837.0,48.4,46.4,3.0,0.0,47.37976,45.68637,2.721857,0.0,0,1,0,0
149,Oklahoma,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1251.0,32.0,57.0,10.0,0.0,30.58601,56.32471,7.69243,0.0,0,1,0,0
150,New Mexico,2016-11-01,2016-11-03,"Research & Polling, Inc.",0.8888888888888888,500.0,45.0,40.0,11.0,0.0,46.39454,40.54576,9.490648,0.0,0,1,0,0
151,Nevada,2016-11-01,2016-11-04,Trafalgar Group,0.2222222222222222,1116.0,45.01,49.61,2.58,0.0,44.87275,46.84256,3.73082,0.0,0,1,0,0
152,Texas,2016-10-31,2016-11-02,Emerson College,0.5555555555555556,702.0,34.5,49.2,4.9,0.0,34.64824,47.41524,4.999537,0.0,0,1,0,0
153,Pennsylvania,2016-10-27,2016-11-01,Quinnipiac University,0.7777777777777777,618.0,48.0,43.0,3.0,0.0,48.63686,42.57669,2.694269,0.0,0,1,0,0
154,Maryland,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1226.0,59.0,28.0,6.0,0.0,57.58702,27.32517,3.69243,0.0,0,1,0,0
155,Nevada,2016-11-01,2016-11-07,SurveyMonkey,0.1111111111111111,1192.0,45.0,43.0,9.0,0.0,43.5938,42.32832,6.69243,0.0,0,1,0,0
