,Unnamed: 0,state,startdate,enddate,pollster,grade,samplesize,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,pop_type__a,pop_type__lv,pop_type__rv,pop_type__v,poll_wt,duration
29,29,Ohio,2016-11-02,2016-11-04,YouGov,0.555555556,1192.0,45.0,46.0,7.381739907,0.0,44.93624,45.09646,4.65976141,0.0,0,1,0,0,3.384065,2
30,30,Virginia,2016-11-01,2016-11-02,Remington,0.333333333,3021.5,46.0,44.0,7.381739907,0.0,45.27399,41.91459,4.65976141,0.0,0,1,0,0,3.373787,1
31,31,New York,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1696.5,55.0,36.0,2.0,0.0,54.84194,35.33231,2.726098,0.0,0,0,1,0,3.337564,3
32,32,Michigan,2016-11-03,2016-11-04,Public Policy Polling,0.666666667,956.0,46.0,41.0,6.0,0.0,45.44545,40.33095,7.207659,0.0,0,1,0,0,3.331139,1
33,33,North Carolina,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,1157.5,49.0,47.0,7.381739907,0.0,47.90348,45.94813,4.65976141,0.0,0,1,0,0,3.322677,1
34,34,Wisconsin,2016-11-01,2016-11-02,Remington,0.333333333,2729.0,49.0,41.0,7.381739907,0.0,48.22713,38.86464,4.65976141,0.0,0,1,0,0,3.256398,1
35,35,Pennsylvania,2016-11-01,2016-11-02,Remington,0.333333333,2675.5,46.0,45.0,7.381739907,0.0,45.30896,42.94988,4.65976141,0.0,0,1,0,0,3.245717,1
36,36,Virginia,2016-11-01,2016-11-06,Christopher Newport University,0.444444444,1192.0,48.0,42.0,3.0,0.0,48.93321,43.6221,1.996604,0.0,0,1,0,0,3.233819,5
37,37,North Carolina,2016-11-01,2016-11-02,Remington,0.333333333,2615.0,45.0,48.0,7.381739907,0.0,44.39882,46.0411,4.65976141,0.0,0,1,0,0,3.219699,1
38,38,Ohio,2016-11-01,2016-11-02,Remington,0.333333333,2560.5,44.0,45.0,7.381739907,0.0,43.03321,42.67245,4.65976141,0.0,0,1,0,0,3.207606,1
39,39,Georgia,2016-11-03,2016-11-05,YouGov,0.555555556,1000.0,43.0,49.0,4.0,0.0,43.80799,48.99024,5.169494,0.0,0,1,0,0,3.185894,2
40,40,Missouri,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,1083.0,37.0,50.0,4.0,0.0,36.55124,49.59908,5.028656,0.0,0,1,0,0,3.173688,1
41,41,New Hampshire,2016-11-04,2016-11-05,Emerson College,0.555555556,1000.0,45.4,43.8,4.5,0.0,45.37532,41.71392,4.769466,0.0,0,1,0,0,3.168547,1
42,42,Arizona,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1463.0,43.0,45.0,3.0,0.0,42.84287,44.33273,3.726098,0.0,0,0,1,0,3.133701,3
43,43,U.S.,2016-10-31,2016-11-06,CVOTER International,0.333333333,1611.0,48.91,46.13,7.381739907,0.0,47.01806,42.04561,4.65976141,0.0,0,1,0,0,3.132291,6
44,44,Florida,2016-11-01,2016-11-02,Remington,0.333333333,2362.0,45.0,48.0,7.381739907,0.0,44.85722,46.49677,4.65976141,0.0,0,1,0,0,3.123244,1
45,45,Pennsylvania,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,1041.0,48.0,44.0,7.381739907,0.0,46.81404,42.86101,4.65976141,0.0,0,1,0,0,3.114036,1
46,46,U.S.,2016-11-04,2016-11-05,Morning Consult,0.333333333,1463.0,45.0,42.0,8.0,0.0,46.2831,43.27167,6.904304,0.0,0,1,0,0,3.083018,1
47,47,Pennsylvania,2016-11-03,2016-11-05,YouGov,0.555555556,915.0,45.0,43.0,4.0,0.0,45.82043,42.99602,5.169494,0.0,0,1,0,0,3.069021,2
48,48,Nevada,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1157.5,45.0,43.0,4.0,0.0,43.52706,40.25877,5.414673,0.0,0,1,0,0,3.059317,3
49,49,Colorado,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1367.0,44.0,43.0,5.0,0.0,43.84619,42.3342,5.726098,0.0,0,0,1,0,3.058729,3
50,50,Florida,2016-11-02,2016-11-04,YouGov,0.555555556,1192.0,45.0,45.0,7.381739907,0.0,47.07455,46.99468,4.65976141,0.0,0,0,1,0,3.053852,2
51,51,U.S.,2016-10-31,2016-11-06,SurveyMonkey,0.111111111,70194.0,47.0,41.0,6.0,0.0,45.65592,40.37888,3.677361,0.0,0,1,0,0,3.020698,6
52,52,Wisconsin,2016-11-01,2016-11-02,Clarity Campaign Labs,0.555555556,1116.0,47.0,43.0,4.0,0.0,47.83631,42.94844,4.024297,0.0,0,1,0,0,2.987877,1
53,53,Ohio,2016-11-04,2016-11-05,Emerson College,0.555555556,915.0,38.9,45.6,6.8,0.0,38.85865,43.50651,7.069466,0.0,0,1,0,0,2.984264,1
54,54,New Hampshire,2016-11-03,2016-11-06,University of New Hampshire,0.666666667,702.0,49.0,38.0,6.0,0.0,48.71549,39.2107,6.444664,0.0,0,1,0,0,2.974129,3
55,55,Pennsylvania,2016-11-01,2016-11-04,Clarity Campaign Labs,0.555555556,1041.0,47.0,43.0,4.0,0.0,47.77524,42.83232,4.096484,0.0,0,1,0,0,2.97223,3
56,56,U.S.,2016-10-20,2016-10-25,Pew Research Center,0.666666667,2127.0,46.0,40.0,6.0,0.0,45.82386,42.70839,3.531025,0.0,0,0,1,0,2.969116,5
57,57,Florida,2016-10-20,2016-10-24,SurveyUSA,0.888888889,1251.0,48.0,45.0,2.0,0.0,46.74555,45.86589,1.52073,0.0,0,1,0,0,2.954021,4
58,58,California,2016-10-25,2016-10-31,YouGov,0.555555556,1500.0,53.0,33.0,4.0,0.0,53.93975,34.06845,4.511946,0.0,0,1,0,0,2.951676,6
59,59,U.S.,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,0.333333333,1500.0,45.0,43.0,4.0,0.0,45.56041,43.13745,4.418502,0.0,0,1,0,0,2.951606,4
60,60,Colorado,2016-11-01,2016-11-02,Remington,0.333333333,1887.0,42.0,41.0,7.381739907,0.0,40.24119,37.87783,4.65976141,0.0,0,1,0,0,2.934303,1
61,61,New York,2016-11-03,2016-11-04,Siena College,0.888888889,618.0,51.0,34.0,5.0,0.0,51.30942,35.12664,4.344325,0.0,0,1,0,0,2.903992,1
62,62,Nevada,2016-11-01,2016-11-02,Remington,0.333333333,1799.0,45.0,46.0,7.381739907,0.0,43.87231,43.51139,4.65976141,0.0,0,1,0,0,2.898775,1
63,63,Pennsylvania,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1226.0,46.0,40.0,7.0,0.0,45.83721,39.33021,7.726098,0.0,0,0,1,0,2.885523,3
64,64,Arizona,2016-10-30,2016-11-01,Marist College,0.888888889,702.0,40.0,45.0,9.0,0.0,38.85863,45.72376,7.587354,0.0,0,1,0,0,2.859202,2
65,65,Missouri,2016-11-01,2016-11-02,Clarity Campaign Labs,0.555555556,1041.0,38.0,54.0,7.381739907,0.0,37.65693,52.77196,4.65976141,0.0,0,1,0,0,2.852793,1
66,66,Wisconsin,2016-11-03,2016-11-06,Gravis Marketing,0.444444444,1192.0,47.0,44.0,3.0,0.0,46.84436,43.33339,3.726098,0.0,0,0,1,0,2.842833,3
67,67,Washington,2016-10-31,2016-11-02,SurveyUSA,0.888888889,677.5,50.0,38.0,4.0,0.0,48.87802,36.95385,4.691579,0.0,0,1,0,0,2.811729,2
68,68,Virginia,2016-11-01,2016-11-04,Gravis Marketing,0.444444444,1367.0,47.0,42.0,4.0,0.0,46.97759,41.41807,4.720103,0.0,0,0,1,0,2.810909,3
69,69,Wisconsin,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,875.0,48.0,41.0,7.381739907,0.0,46.73323,39.78602,4.65976141,0.0,0,1,0,0,2.805241,1
70,70,California,2016-10-22,2016-10-30,Greenberg Quinlan Rosner/American Viewpoint,0.666666667,1367.0,54.0,30.0,4.0,0.0,54.28659,31.63001,3.403508,0.0,0,1,0,0,2.797422,8
71,71,Georgia,2016-10-30,2016-11-01,Marist College,0.888888889,702.0,44.0,45.0,8.0,0.0,42.81871,45.65459,6.587354,0.0,0,1,0,0,2.795523,2
72,72,California,2016-10-28,2016-10-31,SurveyUSA,0.888888889,738.0,56.0,35.0,4.0,0.0,54.86451,34.27885,4.457467,0.0,0,1,0,0,2.794053,3
73,73,Florida,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,4100.0,47.0,45.0,4.0,0.0,45.5919,44.32744,1.69243,0.0,0,1,0,0,2.785524,6
74,74,Texas,2016-10-30,2016-11-01,Marist College,0.888888889,677.5,40.0,49.0,6.0,0.0,38.84342,49.69741,4.587354,0.0,0,1,0,0,2.747991,2
75,75,Missouri,2016-10-31,2016-11-01,Remington,0.333333333,1747.5,39.0,52.0,4.0,0.0,39.02343,50.77483,5.124639,0.0,0,1,0,0,2.741439,1
76,76,Arizona,2016-10-29,2016-10-31,Saguaro Strategies,0.333333333,2239.5,45.0,44.0,7.0,0.0,43.5845,44.02861,6.357814,0.0,0,1,0,0,2.722561,2
77,77,Utah,2016-11-03,2016-11-05,YouGov,0.555555556,778.0,23.0,40.0,7.0,24.0,23.83396,40.0023,8.169495,24.0,0,1,0,0,2.720083,2
78,78,Colorado,2016-11-03,2016-11-04,Public Policy Polling,0.666666667,702.0,48.0,43.0,4.0,0.0,47.45403,42.33493,5.207659,0.0,0,1,0,0,2.715406,1
79,79,Virginia,2016-11-02,2016-11-06,Hampton University,0.555555556,802.0,45.0,41.0,7.381739907,0.0,46.01075,40.15596,4.65976141,0.0,0,1,0,0,2.696078,4
80,80,Utah,2016-10-31,2016-11-02,Emerson College,0.555555556,1000.0,19.6,39.8,3.0,27.6,19.75684,38.0144,3.075563,27.70142,0,1,0,0,2.695307,2
81,81,North Carolina,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,3137.0,48.0,41.0,7.0,0.0,46.58087,40.32232,4.69243,0.0,0,1,0,0,2.68796,6
82,82,Texas,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,3021.5,43.0,46.0,6.0,0.0,41.58838,45.3258,3.69243,0.0,0,1,0,0,2.684719,6
83,83,Michigan,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,3137.0,44.0,42.0,8.0,0.0,42.5951,41.32892,5.69243,0.0,0,1,0,0,2.684582,6
84,84,North Carolina,2016-11-01,2016-11-04,Gravis Marketing,0.444444444,1251.0,46.0,45.0,3.0,0.0,45.96828,44.41288,3.720103,0.0,0,0,1,0,2.681607,3
85,85,Missouri,2016-11-04,2016-11-05,Emerson College,0.555555556,738.0,40.5,46.5,6.6,0.0,40.45619,44.40542,6.869466,0.0,0,1,0,0,2.673305,1
86,86,U.S.,2016-11-04,2016-11-07,Insights West,0.333333333,956.0,49.0,45.0,4.0,0.0,49.14547,45.12675,4.253578,0.0,0,1,0,0,2.661476,3
87,87,Ohio,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2868.0,42.0,45.0,7.0,0.0,40.59315,44.32802,4.69243,0.0,0,1,0,0,2.649181,6
88,88,Pennsylvania,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2868.0,46.0,43.0,6.0,0.0,44.58637,42.32487,3.69243,0.0,0,1,0,0,2.646815,6
89,89,Pennsylvania,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.777777778,802.0,48.0,44.0,4.0,0.0,47.34301,42.21297,3.469063,0.0,0,1,0,0,2.646744,5
90,90,Colorado,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2729.0,43.0,40.0,10.0,0.0,41.60367,39.3329,7.69243,0.0,0,1,0,0,2.635824,6
91,91,New Mexico,2016-11-01,2016-11-02,Gravis Marketing,0.444444444,1327.0,45.0,37.0,11.0,0.0,45.03643,36.53281,11.64792,0.0,0,0,1,0,2.631171,1
92,92,California,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2729.0,56.0,31.0,6.0,0.0,54.59576,30.32923,3.69243,0.0,0,1,0,0,2.624894,6
93,93,Nevada,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.777777778,778.0,43.0,49.0,5.0,0.0,42.3558,47.24366,4.469063,0.0,0,1,0,0,2.624312,5
94,94,Arizona,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2615.0,45.0,42.0,7.0,0.0,43.59727,41.32993,4.69243,0.0,0,1,0,0,2.606663,6
95,95,Georgia,2016-11-06,2016-11-06,Trafalgar Group,0.222222222,1251.0,45.11,51.58,1.89,0.0,44.73904,48.6823,2.955849,0.0,0,1,0,0,2.59701,0
96,96,Arizona,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.777777778,778.0,44.0,49.0,5.0,0.0,43.36176,47.25795,4.469063,0.0,0,1,0,0,2.571478,5
97,97,New Hampshire,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,778.0,48.0,43.0,7.381739907,0.0,45.84364,40.90704,4.65976141,0.0,0,1,0,0,2.568357,1
98,98,Georgia,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2433.5,45.0,45.0,7.0,0.0,43.57392,44.31909,4.69243,0.0,0,1,0,0,2.564084,6
99,99,Michigan,2016-11-06,2016-11-06,Trafalgar Group,0.222222222,1192.0,46.82,48.52,2.89,0.0,46.44904,45.6223,3.955849,0.0,0,1,0,0,2.559789,0
100,100,Florida,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.777777778,778.0,49.0,47.0,3.0,0.0,48.35252,45.23579,2.469063,0.0,0,1,0,0,2.557385,5
101,101,U.S.,2016-10-20,2016-11-01,RAND (American Life Panel),0.444444444,2239.5,43.7,34.6,7.7,0.0,43.13676,38.24491,5.9578,0.0,0,1,0,0,2.551487,12
102,102,Utah,2016-10-30,2016-10-31,Gravis Marketing,0.444444444,1415.0,29.0,35.0,3.0,24.0,29.04086,34.78405,3.422875,24.13522,0,0,1,0,2.534445,1
103,103,Wisconsin,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2239.5,44.0,42.0,7.0,0.0,42.60015,41.33127,4.69243,0.0,0,1,0,0,2.531833,6
104,104,Virginia,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2183.0,49.0,41.0,7.0,0.0,47.58769,40.32549,4.69243,0.0,0,1,0,0,2.529197,6
105,105,Florida,2016-11-01,2016-11-02,Gravis Marketing,0.444444444,1226.0,46.0,45.0,4.0,0.0,46.02363,44.52199,4.647916,0.0,0,0,1,0,2.526391,1
106,106,New York,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2183.0,57.0,32.0,5.0,0.0,55.59548,31.3291,2.69243,0.0,0,1,0,0,2.522875,6
107,107,North Carolina,2016-10-28,2016-10-31,SurveyUSA,0.888888889,649.0,44.0,51.0,7.381739907,0.0,42.12159,49.50006,4.65976141,0.0,0,1,0,0,2.510095,3
108,108,Michigan,2016-11-01,2016-11-04,Gravis Marketing,0.444444444,1083.0,46.0,41.0,3.0,0.0,45.98772,40.42371,3.720103,0.0,0,0,1,0,2.480104,3
109,109,Florida,2016-11-06,2016-11-06,Trafalgar Group,0.222222222,1116.0,46.13,49.72,2.43,0.0,45.75904,46.8223,3.495849,0.0,0,1,0,0,2.479039,0
110,110,North Carolina,2016-10-25,2016-10-26,Marist College,0.888888889,778.0,47.0,41.0,8.0,0.0,45.80774,42.65965,5.980521,0.0,0,1,0,0,2.477858,1
111,111,Florida,2016-10-25,2016-10-27,Siena College,0.888888889,802.0,42.0,46.0,4.0,0.0,42.40145,48.60084,2.45716,0.0,0,1,0,0,2.465165,2
112,112,Utah,2016-11-03,2016-11-05,Trafalgar Group,0.222222222,1367.0,29.52,39.95,3.89,24.52,29.32624,37.13456,5.055889,24.52,0,1,0,0,2.458509,2
113,113,Florida,2016-10-25,2016-10-26,Marist College,0.888888889,778.0,45.0,44.0,5.0,0.0,43.825,45.76098,2.980521,0.0,0,1,0,0,2.437825,1
114,114,Illinois,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1799.0,52.0,35.0,6.0,0.0,50.59141,34.32721,3.69243,0.0,0,1,0,0,2.428014,6
115,115,Iowa,2016-11-01,2016-11-02,RABA Research,0.333333333,1083.0,41.0,44.0,5.0,0.0,41.77092,45.07573,5.054302,0.0,0,1,0,0,2.427176,1
116,116,Pennsylvania,2016-11-03,2016-11-05,Trafalgar Group,0.222222222,1290.0,46.51,48.43,2.3,0.0,46.30272,45.60828,3.465889,0.0,0,1,0,0,2.415687,2
117,117,Iowa,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1799.0,38.0,47.0,9.0,0.0,36.60362,46.33288,6.69243,0.0,0,1,0,0,2.414203,6
118,118,Indiana,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1696.5,35.0,52.0,10.0,0.0,33.58643,51.3249,7.69243,0.0,0,1,0,0,2.386133,6
119,119,South Carolina,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1696.5,43.0,47.0,6.0,0.0,41.57453,46.31938,3.69243,0.0,0,1,0,0,2.373767,6
120,120,Florida,2016-10-21,2016-10-24,Selzer & Company,1.0,802.0,43.0,45.0,4.0,0.0,43.30724,46.68426,2.861892,0.0,0,1,0,0,2.35699,3
121,121,U.S.,2016-10-20,2016-10-24,GfK Group,0.666666667,1226.0,51.0,37.0,6.0,0.0,50.28058,39.98632,4.733277,0.0,0,1,0,0,2.356635,4
122,122,Nevada,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,677.5,48.0,45.0,7.381739907,0.0,46.37794,43.42805,4.65976141,0.0,0,1,0,0,2.35099,1
123,123,Michigan,2016-11-01,2016-11-03,EPIC-MRA,0.777777778,600.0,42.0,38.0,5.0,0.0,43.47472,39.26165,4.472379,0.0,0,1,0,0,2.348978,2
124,124,Oregon,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1611.0,50.0,35.0,7.0,0.0,48.6059,34.33394,4.69243,0.0,0,1,0,0,2.335181,6
125,125,Pennsylvania,2016-10-23,2016-10-25,Siena College,0.888888889,837.0,46.0,39.0,6.0,0.0,46.3271,41.95797,4.263721,0.0,0,1,0,0,2.319354,2
126,126,Nevada,2016-11-04,2016-11-05,Emerson College,0.555555556,600.0,46.8,45.6,3.9,0.0,46.75898,43.50666,4.169466,0.0,0,1,0,0,2.311949,1
127,127,Missouri,2016-10-27,2016-10-28,BK Strategies,0.333333333,1696.5,39.0,53.0,7.381739907,0.0,38.35085,51.20917,4.65976141,0.0,0,1,0,0,2.301099,1
128,128,Utah,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1463.0,31.0,34.0,7.0,25.0,29.59989,33.33115,4.69243,25.0,0,1,0,0,2.298333,6
129,129,New Hampshire,2016-11-01,2016-11-02,Gravis Marketing,0.444444444,1000.0,41.0,43.0,7.0,0.0,41.07718,42.56727,7.647916,0.0,0,0,1,0,2.291677,1
130,130,California,2016-10-14,2016-10-23,Public Policy Institute of California,0.888888889,1041.0,54.0,28.0,5.0,0.0,56.30498,29.53212,3.008714,0.0,0,1,0,0,2.290809,9
131,131,Ohio,2016-10-27,2016-11-05,Columbus Dispatch,0.333333333,1157.5,48.0,47.0,7.381739907,0.0,46.07078,45.69285,4.65976141,0.0,0,1,0,0,2.277907,9
132,132,Tennessee,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1415.0,41.0,49.0,5.0,0.0,39.5886,48.32591,2.69243,0.0,0,1,0,0,2.277639,6
133,133,Washington,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1463.0,51.0,33.0,8.0,0.0,49.60812,32.33496,5.69243,0.0,0,1,0,0,2.274687,6
134,134,Colorado,2016-10-26,2016-10-28,YouGov,0.555555556,1000.0,42.0,39.0,7.0,0.0,42.94938,40.34512,7.397894,0.0,0,1,0,0,2.273378,2
135,135,Arizona,2016-10-26,2016-10-28,YouGov,0.555555556,1000.0,42.0,44.0,4.0,0.0,42.93903,45.29469,4.397894,0.0,0,1,0,0,2.269359,2
136,136,Iowa,2016-11-01,2016-11-03,Emerson College,0.555555556,702.0,41.0,44.0,5.0,0.0,41.16034,42.11262,5.191284,0.0,0,1,0,0,2.26872,2
137,137,North Carolina,2016-10-26,2016-10-28,YouGov,0.555555556,1000.0,48.0,45.0,3.0,0.0,48.91251,46.16556,3.397894,0.0,0,1,0,0,2.266673,2
138,138,Connecticut,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1367.0,52.0,36.0,7.0,0.0,50.60727,35.33457,4.69243,0.0,0,1,0,0,2.255979,6
139,139,Massachusetts,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1367.0,56.0,30.0,6.0,0.0,54.62819,29.34428,3.69243,0.0,0,1,0,0,2.251622,6
140,140,New Jersey,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1367.0,52.0,37.0,4.0,0.0,50.5984,36.33046,1.69243,0.0,0,1,0,0,2.251136,6
141,141,Colorado,2016-11-02,2016-11-03,"Keating Research, Inc.",0.555555556,600.0,43.0,38.0,7.0,0.0,42.73429,39.28642,6.995907,0.0,0,1,0,0,2.237669,1
142,142,Missouri,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1367.0,40.0,48.0,8.0,0.0,38.58843,47.32583,5.69243,0.0,0,1,0,0,2.235764,6
143,143,Kansas,2016-10-26,2016-10-30,SurveyUSA,0.888888889,618.0,38.0,49.0,7.0,0.0,36.85588,48.73752,7.213034,0.0,0,1,0,0,2.228987,4
144,144,Kentucky,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1327.0,35.0,54.0,6.0,0.0,33.58942,53.32629,3.69243,0.0,0,1,0,0,2.219969,6
145,145,Kansas,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1327.0,36.0,49.0,9.0,0.0,34.59949,48.33097,6.69243,0.0,0,1,0,0,2.217888,6
146,146,U.S.,2016-11-01,2016-11-03,Fox News/Anderson Robbins Research/Shaw & Company Research,0.888888889,1116.0,45.5,44.0,5.0,0.0,46.70731,44.14856,4.979693,0.0,0,1,0,0,2.211217,2
