,state,startdate,enddate,pollster,grade,samplesize,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,pop_type__a,pop_type__lv,pop_type__rv,pop_type__v,poll_wt,duration
72,California,2016-10-28,2016-10-31,SurveyUSA,0.888888889,738,56,35,4,0,54.86451,34.27885,4.457467,0,0,1,0,0,2.794053,3
73,Florida,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,4100,47,45,4,0,45.5919,44.32744,1.69243,0,0,1,0,0,2.785524,6
74,Texas,2016-10-30,2016-11-01,Marist College,0.888888889,677.5,40,49,6,0,38.84342,49.69741,4.587354,0,0,1,0,0,2.747991,2
75,Missouri,2016-10-31,2016-11-01,Remington,0.333333333,1747.5,39,52,4,0,39.02343,50.77483,5.124639,0,0,1,0,0,2.741439,1
76,Arizona,2016-10-29,2016-10-31,Saguaro Strategies,0.333333333,2239.5,45,44,7,0,43.5845,44.02861,6.357814,0,0,1,0,0,2.722561,2
77,Utah,2016-11-03,2016-11-05,YouGov,0.555555556,778,23,40,7,24,23.83396,40.0023,8.169495,24,0,1,0,0,2.720083,2
78,Colorado,2016-11-03,2016-11-04,Public Policy Polling,0.666666667,702,48,43,4,0,47.45403,42.33493,5.207659,0,0,1,0,0,2.715406,1
79,Virginia,2016-11-02,2016-11-06,Hampton University,0.555555556,802,45,41,7.381739907,0,46.01075,40.15596,4.65976141,0,0,1,0,0,2.696078,4
80,Utah,2016-10-31,2016-11-02,Emerson College,0.555555556,1000,19.6,39.8,3,27.6,19.75684,38.0144,3.075563,27.70142,0,1,0,0,2.695307,2
81,North Carolina,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,3137,48,41,7,0,46.58087,40.32232,4.69243,0,0,1,0,0,2.68796,6
82,Texas,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,3021.5,43,46,6,0,41.58838,45.3258,3.69243,0,0,1,0,0,2.684719,6
83,Michigan,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,3137,44,42,8,0,42.5951,41.32892,5.69243,0,0,1,0,0,2.684582,6
84,North Carolina,2016-11-01,2016-11-04,Gravis Marketing,0.444444444,1251,46,45,3,0,45.96828,44.41288,3.720103,0,0,0,1,0,2.681607,3
85,Missouri,2016-11-04,2016-11-05,Emerson College,0.555555556,738,40.5,46.5,6.6,0,40.45619,44.40542,6.869466,0,0,1,0,0,2.673305,1
86,U.S.,2016-11-04,2016-11-07,Insights West,0.333333333,956,49,45,4,0,49.14547,45.12675,4.253578,0,0,1,0,0,2.661476,3
87,Ohio,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2868,42,45,7,0,40.59315,44.32802,4.69243,0,0,1,0,0,2.649181,6
88,Pennsylvania,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2868,46,43,6,0,44.58637,42.32487,3.69243,0,0,1,0,0,2.646815,6
89,Pennsylvania,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.777777778,802,48,44,4,0,47.34301,42.21297,3.469063,0,0,1,0,0,2.646744,5
90,Colorado,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2729,43,40,10,0,41.60367,39.3329,7.69243,0,0,1,0,0,2.635824,6
91,New Mexico,2016-11-01,2016-11-02,Gravis Marketing,0.444444444,1327,45,37,11,0,45.03643,36.53281,11.64792,0,0,0,1,0,2.631171,1
92,California,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2729,56,31,6,0,54.59576,30.32923,3.69243,0,0,1,0,0,2.624894,6
93,Nevada,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.777777778,778,43,49,5,0,42.3558,47.24366,4.469063,0,0,1,0,0,2.624312,5
94,Arizona,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2615,45,42,7,0,43.59727,41.32993,4.69243,0,0,1,0,0,2.606663,6
95,Georgia,2016-11-06,2016-11-06,Trafalgar Group,0.222222222,1251,45.11,51.58,1.89,0,44.73904,48.6823,2.955849,0,0,1,0,0,2.59701,0
96,Arizona,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.777777778,778,44,49,5,0,43.36176,47.25795,4.469063,0,0,1,0,0,2.571478,5
97,New Hampshire,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,778,48,43,7.381739907,0,45.84364,40.90704,4.65976141,0,0,1,0,0,2.568357,1
98,Georgia,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2433.5,45,45,7,0,43.57392,44.31909,4.69243,0,0,1,0,0,2.564084,6
99,Michigan,2016-11-06,2016-11-06,Trafalgar Group,0.222222222,1192,46.82,48.52,2.89,0,46.44904,45.6223,3.955849,0,0,1,0,0,2.559789,0
100,Florida,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,0.777777778,778,49,47,3,0,48.35252,45.23579,2.469063,0,0,1,0,0,2.557385,5
101,U.S.,2016-10-20,2016-11-01,RAND (American Life Panel),0.444444444,2239.5,43.7,34.6,7.7,0,43.13676,38.24491,5.9578,0,0,1,0,0,2.551487,12
102,Utah,2016-10-30,2016-10-31,Gravis Marketing,0.444444444,1415,29,35,3,24,29.04086,34.78405,3.422875,24.13522,0,0,1,0,2.534445,1
103,Wisconsin,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2239.5,44,42,7,0,42.60015,41.33127,4.69243,0,0,1,0,0,2.531833,6
104,Virginia,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2183,49,41,7,0,47.58769,40.32549,4.69243,0,0,1,0,0,2.529197,6
105,Florida,2016-11-01,2016-11-02,Gravis Marketing,0.444444444,1226,46,45,4,0,46.02363,44.52199,4.647916,0,0,0,1,0,2.526391,1
106,New York,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,2183,57,32,5,0,55.59548,31.3291,2.69243,0,0,1,0,0,2.522875,6
107,North Carolina,2016-10-28,2016-10-31,SurveyUSA,0.888888889,649,44,51,7.381739907,0,42.12159,49.50006,4.65976141,0,0,1,0,0,2.510095,3
108,Michigan,2016-11-01,2016-11-04,Gravis Marketing,0.444444444,1083,46,41,3,0,45.98772,40.42371,3.720103,0,0,0,1,0,2.480104,3
109,Florida,2016-11-06,2016-11-06,Trafalgar Group,0.222222222,1116,46.13,49.72,2.43,0,45.75904,46.8223,3.495849,0,0,1,0,0,2.479039,0
110,North Carolina,2016-10-25,2016-10-26,Marist College,0.888888889,778,47,41,8,0,45.80774,42.65965,5.980521,0,0,1,0,0,2.477858,1
111,Florida,2016-10-25,2016-10-27,Siena College,0.888888889,802,42,46,4,0,42.40145,48.60084,2.45716,0,0,1,0,0,2.465165,2
112,Utah,2016-11-03,2016-11-05,Trafalgar Group,0.222222222,1367,29.52,39.95,3.89,24.52,29.32624,37.13456,5.055889,24.52,0,1,0,0,2.458509,2
113,Florida,2016-10-25,2016-10-26,Marist College,0.888888889,778,45,44,5,0,43.825,45.76098,2.980521,0,0,1,0,0,2.437825,1
114,Illinois,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1799,52,35,6,0,50.59141,34.32721,3.69243,0,0,1,0,0,2.428014,6
115,Iowa,2016-11-01,2016-11-02,RABA Research,0.333333333,1083,41,44,5,0,41.77092,45.07573,5.054302,0,0,1,0,0,2.427176,1
116,Pennsylvania,2016-11-03,2016-11-05,Trafalgar Group,0.222222222,1290,46.51,48.43,2.3,0,46.30272,45.60828,3.465889,0,0,1,0,0,2.415687,2
117,Iowa,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1799,38,47,9,0,36.60362,46.33288,6.69243,0,0,1,0,0,2.414203,6
118,Indiana,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1696.5,35,52,10,0,33.58643,51.3249,7.69243,0,0,1,0,0,2.386133,6
119,South Carolina,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1696.5,43,47,6,0,41.57453,46.31938,3.69243,0,0,1,0,0,2.373767,6
120,Florida,2016-10-21,2016-10-24,Selzer & Company,1,802,43,45,4,0,43.30724,46.68426,2.861892,0,0,1,0,0,2.35699,3
121,U.S.,2016-10-20,2016-10-24,GfK Group,0.666666667,1226,51,37,6,0,50.28058,39.98632,4.733277,0,0,1,0,0,2.356635,4
122,Nevada,2016-10-31,2016-11-01,Public Policy Polling,0.666666667,677.5,48,45,7.381739907,0,46.37794,43.42805,4.65976141,0,0,1,0,0,2.35099,1
123,Michigan,2016-11-01,2016-11-03,EPIC-MRA,0.777777778,600,42,38,5,0,43.47472,39.26165,4.472379,0,0,1,0,0,2.348978,2
124,Oregon,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1611,50,35,7,0,48.6059,34.33394,4.69243,0,0,1,0,0,2.335181,6
125,Pennsylvania,2016-10-23,2016-10-25,Siena College,0.888888889,837,46,39,6,0,46.3271,41.95797,4.263721,0,0,1,0,0,2.319354,2
126,Nevada,2016-11-04,2016-11-05,Emerson College,0.555555556,600,46.8,45.6,3.9,0,46.75898,43.50666,4.169466,0,0,1,0,0,2.311949,1
127,Missouri,2016-10-27,2016-10-28,BK Strategies,0.333333333,1696.5,39,53,7.381739907,0,38.35085,51.20917,4.65976141,0,0,1,0,0,2.301099,1
128,Utah,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1463,31,34,7,25,29.59989,33.33115,4.69243,25,0,1,0,0,2.298333,6
129,New Hampshire,2016-11-01,2016-11-02,Gravis Marketing,0.444444444,1000,41,43,7,0,41.07718,42.56727,7.647916,0,0,0,1,0,2.291677,1
130,California,2016-10-14,2016-10-23,Public Policy Institute of California,0.888888889,1041,54,28,5,0,56.30498,29.53212,3.008714,0,0,1,0,0,2.290809,9
131,Ohio,2016-10-27,2016-11-05,Columbus Dispatch,0.333333333,1157.5,48,47,7.381739907,0,46.07078,45.69285,4.65976141,0,0,1,0,0,2.277907,9
132,Tennessee,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1415,41,49,5,0,39.5886,48.32591,2.69243,0,0,1,0,0,2.277639,6
133,Washington,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1463,51,33,8,0,49.60812,32.33496,5.69243,0,0,1,0,0,2.274687,6
134,Colorado,2016-10-26,2016-10-28,YouGov,0.555555556,1000,42,39,7,0,42.94938,40.34512,7.397894,0,0,1,0,0,2.273378,2
135,Arizona,2016-10-26,2016-10-28,YouGov,0.555555556,1000,42,44,4,0,42.93903,45.29469,4.397894,0,0,1,0,0,2.269359,2
136,Iowa,2016-11-01,2016-11-03,Emerson College,0.555555556,702,41,44,5,0,41.16034,42.11262,5.191284,0,0,1,0,0,2.26872,2
137,North Carolina,2016-10-26,2016-10-28,YouGov,0.555555556,1000,48,45,3,0,48.91251,46.16556,3.397894,0,0,1,0,0,2.266673,2
138,Connecticut,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1367,52,36,7,0,50.60727,35.33457,4.69243,0,0,1,0,0,2.255979,6
139,Massachusetts,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1367,56,30,6,0,54.62819,29.34428,3.69243,0,0,1,0,0,2.251622,6
140,New Jersey,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1367,52,37,4,0,50.5984,36.33046,1.69243,0,0,1,0,0,2.251136,6
141,Colorado,2016-11-02,2016-11-03,"Keating Research, Inc.",0.555555556,600,43,38,7,0,42.73429,39.28642,6.995907,0,0,1,0,0,2.237669,1
142,Missouri,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1367,40,48,8,0,38.58843,47.32583,5.69243,0,0,1,0,0,2.235764,6
143,Kansas,2016-10-26,2016-10-30,SurveyUSA,0.888888889,618,38,49,7,0,36.85588,48.73752,7.213034,0,0,1,0,0,2.228987,4
144,Kentucky,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1327,35,54,6,0,33.58942,53.32629,3.69243,0,0,1,0,0,2.219969,6
145,Kansas,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1327,36,49,9,0,34.59949,48.33097,6.69243,0,0,1,0,0,2.217888,6
146,U.S.,2016-11-01,2016-11-03,Fox News/Anderson Robbins Research/Shaw & Company Research,0.888888889,1116,45.5,44,5,0,46.70731,44.14856,4.979693,0,0,1,0,0,2.211217,2
147,Minnesota,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1290,46,39,10,0,44.60134,38.33182,7.69243,0,0,1,0,0,2.207883,6
148,Florida,2016-11-05,2016-11-06,Opinion Savvy/InsiderAdvantage,0.111111111,837,48.4,46.4,3,0,47.37976,45.68637,2.721857,0,0,1,0,0,2.196736,1
149,Oklahoma,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1251,32,57,10,0,30.58601,56.32471,7.69243,0,0,1,0,0,2.196587,6
150,New Mexico,2016-11-01,2016-11-03,"Research & Polling, Inc.",0.888888889,500,45,40,11,0,46.39454,40.54576,9.490648,0,0,1,0,0,2.186039,2
151,Nevada,2016-11-01,2016-11-04,Trafalgar Group,0.222222222,1116,45.01,49.61,2.58,0,44.87275,46.84256,3.73082,0,0,1,0,0,2.180106,3
152,Texas,2016-10-31,2016-11-02,Emerson College,0.555555556,702,34.5,49.2,4.9,0,34.64824,47.41524,4.999537,0,0,1,0,0,2.176822,2
153,Pennsylvania,2016-10-27,2016-11-01,Quinnipiac University,0.777777778,618,48,43,3,0,48.63686,42.57669,2.694269,0,0,1,0,0,2.169967,5
154,Maryland,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1226,59,28,6,0,57.58702,27.32517,3.69243,0,0,1,0,0,2.165751,6
155,Nevada,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1192,45,43,9,0,43.5938,42.32832,6.69243,0,0,1,0,0,2.149976,6
156,New Hampshire,2016-10-28,2016-11-02,University of Massachusetts Lowell,0.555555556,702,44,44,5,0,44.63114,44.22107,5.006831,0,0,1,0,0,2.149767,5
157,Arizona,2016-10-28,2016-11-01,The Times-Picayune/Lucid,0.333333333,1116,41,42,8,0,41.43996,44.98566,6.36684,0,0,1,0,0,2.131348,4
158,Ohio,2016-10-31,2016-11-03,TargetSmart/William & Mary,0.333333333,837,40,43,8,0,40.30606,44.64392,7.724584,0,0,1,0,0,2.127813,3
159,Colorado,2016-10-31,2016-11-03,Trafalgar Group,0.222222222,1157.5,44.77,44.33,5.04,0,44.68932,41.67779,6.118633,0,0,1,0,0,2.12413,3
160,Indiana,2016-11-01,2016-11-03,Public Opinion Strategies,0.555555556,600,37,48,9,0,37.37132,49.48534,8.209533,0,0,1,0,0,2.114406,2
161,Alabama,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1116,36,55,6,0,34.57085,54.31767,3.69243,0,0,1,0,0,0,6
162,Ohio,2016-10-27,2016-11-01,Quinnipiac University,0.777777778,600,41,46,5,0,41.64853,45.60469,4.69427,0,0,1,0,0,2.103988,5
163,Virginia,2016-10-28,2016-10-30,Emerson College,0.555555556,802,49,45,3,0,49.1487,43.76307,2.731334,0,0,1,0,0,2.090419,2
164,Pennsylvania,2016-10-31,2016-11-01,"Susquehanna Polling & Research, Inc.",0.444444444,677.5,45,43,2,0,45.6835,43.54456,2.542289,0,0,1,0,0,2.080905,1
165,Colorado,2016-10-28,2016-10-31,Emerson College,0.555555556,738,44,41,8,0,44.18147,39.61434,7.865426,0,0,1,0,0,2.070262,3
166,New Hampshire,2016-10-20,2016-10-24,Marist College,0.888888889,778,45,36,10,0,43.7742,38.96218,7.517833,0,0,1,0,0,2.062099,4
167,New Jersey,2016-10-27,2016-11-02,Stockton College,0.555555556,677.5,51,40,3,0,50.7404,39.86985,2.670724,0,0,1,0,0,2.018986,6
168,Nebraska,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1000,35,52,7,0,33.59756,51.33007,4.69243,0,0,1,0,0,2.014911,6
169,Louisiana,2016-11-01,2016-11-07,SurveyMonkey,0.111111111,1000,38,52,4,0,36.57474,51.31947,1.69243,0,0,1,0,0,2.010349,6
